      time         0         1         2
  0.910000  0.068947  0.129677  0.225627
  0.911750  0.069225  0.129309  0.225719
  0.913500  0.069506  0.128942  0.225813
  0.915250  0.069788  0.128577  0.225908
  0.917000  0.070072  0.128214  0.226004
  0.918750  0.070358  0.127852  0.226101
  0.920500  0.070646  0.127492  0.226200
  0.922250  0.070935  0.127133  0.226300
  0.924000  0.071227  0.126776  0.226402
  0.925750  0.071520  0.126421  0.226504
  0.927500  0.071815  0.126067  0.226608
  0.929250  0.072112  0.125714  0.226713
  0.931000  0.072411  0.125363  0.226820
  0.932750  0.072712  0.125014  0.226928
  0.934500  0.073015  0.124666  0.227037
  0.936250  0.073319  0.124319  0.227147
  0.938000  0.073626  0.123974  0.227258
  0.939750  0.073935  0.123631  0.227371
  0.941500  0.074245  0.123289  0.227485
  0.943250  0.074558  0.122948  0.227601
  0.945000  0.074872  0.122609  0.227717
  0.946750  0.075189  0.122271  0.227835
  0.948500  0.075508  0.121935  0.227954
  0.950250  0.075828  0.121600  0.228074
  0.952000  0.076151  0.121267  0.228196
  0.953750  0.076475  0.120935  0.228319
  0.955500  0.076802  0.120605  0.228443
  0.957250  0.077131  0.120276  0.228568
  0.959000  0.077462  0.119948  0.228695
  0.960750  0.077795  0.119622  0.228823
  0.962500  0.078130  0.119297  0.228952
  0.964250  0.078467  0.118974  0.229082
  0.966000  0.078806  0.118652  0.229214
  0.967750  0.079148  0.118331  0.229347
  0.969500  0.079491  0.118012  0.229481
  0.971250  0.079837  0.117695  0.229616
  0.973000  0.080185  0.117378  0.229752
  0.974750  0.080535  0.117063  0.229890
  0.976500  0.080888  0.116750  0.230029
  0.978250  0.081242  0.116437  0.230169
  0.980000  0.081599  0.116127  0.230311
  0.981750  0.081958  0.115817  0.230453
  0.983500  0.082319  0.115509  0.230597
  0.985250  0.082683  0.115202  0.230742
  0.987000  0.083048  0.114897  0.230889
  0.988750  0.083416  0.114592  0.231036
  0.990500  0.083787  0.114290  0.231185
  0.992250  0.084160  0.113988  0.231335
  0.994000  0.084535  0.113688  0.231486
  0.995750  0.084912  0.113389  0.231638
  0.997500  0.085292  0.113092  0.231792
  0.999250  0.085674  0.112795  0.231947
  1.001000  0.086058  0.112500  0.232103
  1.002750  0.086445  0.112207  0.232260
  1.004500  0.086834  0.111914  0.232419
  1.006250  0.087226  0.111623  0.232578
  1.008000  0.087620  0.111334  0.232739
  1.009750  0.088017  0.111045  0.232901
  1.011500  0.088416  0.110758  0.233065
  1.013250  0.088818  0.110472  0.233229
  1.015000  0.089222  0.110188  0.233395
  1.016750  0.089628  0.109904  0.233562
  1.018500  0.090037  0.109622  0.233730
  1.020250  0.090449  0.109341  0.233899
  1.022000  0.090863  0.109062  0.234070
  1.023750  0.091280  0.108783  0.234242
  1.025500  0.091699  0.108506  0.234415
  1.027250  0.092121  0.108230  0.234589
  1.029000  0.092546  0.107956  0.234764
  1.030750  0.092973  0.107682  0.234941
  1.032500  0.093403  0.107410  0.235118
  1.034250  0.093835  0.107139  0.235297
